SalePrice,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MiscVal,MSZoning,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,House_Age,Remod_Age,Garage_Age
149000,0.0,11241,180.0,578,426,1004,1004,0,1004,1,1,0,2,5,1,2,480,0,0,700,RL,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,None,Shed,WD,Normal,20,6,7,51,0,51.0
90000,72.0,10791,0.0,0,0,0,1296,0,1296,0,2,0,2,6,0,2,516,0,0,500,RL,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,Gable,MetalSd,MetalSd,None,TA,TA,Slab,None,None,None,None,None,GasA,TA,Y,SBrkr,TA,Typ,None,CarPort,Unf,TA,TA,Y,None,Shed,WD,Normal,90,4,5,54,0,54.0
159000,66.0,13695,0.0,646,468,1114,1114,0,1114,1,1,1,3,6,0,2,576,0,102,0,RL,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Normal,20,5,5,17,0,17.0
139000,70.0,7560,0.0,504,525,1029,1339,0,1339,0,1,0,3,6,0,1,294,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,None,Attchd,Unf,TA,TA,Y,MnPrv,None,COD,Abnorml,20,5,6,63,56,63.0
325300,101.0,14215,380.0,0,1158,1158,1158,1218,2376,0,3,1,4,9,1,3,853,240,154,0,RL,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,None,None,New,Partial,60,8,5,16,15,16.0
230000,75.0,9742,281.0,0,1777,1777,1795,0,1795,0,2,0,3,7,1,2,534,171,159,0,RL,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,19,0,19.0
129900,44.0,4224,0.0,840,200,1040,1060,0,1060,1,1,0,3,6,1,2,572,100,110,0,RM,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,Gable,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,None,None,WD,Normal,120,5,7,45,0,45.0
134800,60.0,7200,0.0,234,180,900,900,0,900,0,1,0,3,5,0,2,576,222,32,0,RL,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Normal,20,5,7,70,21,16.0
306000,98.0,11478,200.0,1218,486,1704,1704,0,1704,1,2,0,3,7,1,3,772,0,50,0,RL,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,14,13,13.0
68500,60.0,6324,0.0,0,520,520,520,0,520,0,1,0,1,4,0,1,240,49,0,0,RM,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,None,Detchd,Unf,Fa,TA,Y,None,None,WD,Normal,30,4,6,94,71,101.0
40000,50.0,8500,0.0,0,649,649,649,668,1317,0,1,0,3,6,0,1,250,0,54,0,C (all),Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,Gambrel,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,None,Detchd,Unf,TA,Fa,N,MnPrv,None,WD,Normal,70,4,4,101,71,101.0
149350,0.0,8544,0.0,0,1228,1228,1228,0,1228,0,1,1,3,6,0,1,271,0,65,0,RL,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,None,Attchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,20,5,6,55,15,55.0
179900,85.0,11049,0.0,0,1234,1234,1234,0,1234,0,2,0,3,7,0,2,484,0,30,0,RL,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,14,0,14.0
165500,70.0,10552,0.0,1018,380,1398,1700,0,1700,0,1,1,4,6,1,2,447,0,38,0,RL,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,5,5,62,0,62.0
277500,60.0,7313,246.0,1153,408,1561,1561,0,1561,1,2,0,2,6,1,2,556,203,47,0,RL,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,None,None,WD,Normal,120,9,5,16,0,16.0
309000,108.0,13418,132.0,0,1117,1117,1132,1320,2452,0,3,1,4,9,1,3,691,113,32,0,RL,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,None,None,WD,Normal,60,8,5,17,16,17.0
145000,112.0,10859,0.0,0,1097,1097,1097,0,1097,0,1,1,3,6,0,2,672,392,64,0,RL,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,WD,Normal,20,5,5,27,26,26.0
109000,68.0,7922,0.0,731,326,1057,1057,0,1057,1,1,0,3,5,0,1,246,0,52,0,RL,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Abnorml,20,5,7,68,14,68.0
82000,65.0,6040,0.0,0,0,0,1152,0,1152,0,2,0,2,6,0,0,0,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,Gable,AsbShng,Plywood,None,TA,TA,PConc,None,None,None,None,None,GasA,TA,N,FuseP,Fa,Typ,None,None,None,None,None,N,None,None,WD,AdjLand,90,4,5,66,0,0.0
160000,84.0,8658,101.0,643,445,1088,1324,0,1324,0,2,0,3,6,1,2,440,0,138,0,RL,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,GdWo,None,WD,Abnorml,20,6,5,56,0,56.0
170000,115.0,16905,0.0,967,383,1350,1328,0,1328,0,1,1,2,5,2,1,308,0,104,0,RL,None,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,RFn,TA,TA,P,None,None,WD,Normal,20,5,6,62,0,62.0
144000,0.0,9180,0.0,747,0,840,884,0,884,1,1,0,2,5,0,2,504,240,0,0,RL,None,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,Gd,Y,MnPrv,None,WD,Normal,85,5,7,38,0,38.0
130250,0.0,9200,0.0,280,167,938,938,0,938,1,1,0,3,5,0,1,308,145,0,0,RL,None,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,20,5,6,46,41,44.0
141000,70.0,7945,0.0,179,465,1150,1150,0,1150,1,1,0,3,6,0,1,300,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,TA,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,5,6,62,0,62.0
319900,61.0,7658,412.0,456,1296,1752,1752,0,1752,1,2,0,2,6,1,2,576,196,82,0,RL,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,120,9,5,16,0,16.0
249700,84.0,11096,0.0,24,1632,1656,1656,0,1656,0,2,0,3,7,0,3,826,0,146,0,FV,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,15,0,15.0
113000,33.0,4456,0.0,0,736,736,736,716,1452,0,2,0,2,8,0,0,0,0,0,0,RM,None,Reg,Lvl,Inside,Gtl,OldTown,Norm,2fmCon,2Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,None,None,None,None,N,None,None,New,Partial,190,4,5,101,13,0.0
127000,66.0,7742,0.0,763,192,955,955,0,955,1,1,0,3,6,0,1,386,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,20,5,7,55,0,55.0
177000,0.0,13869,0.0,182,612,794,794,676,1470,0,2,0,3,6,0,2,388,0,75,0,RL,None,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,None,None,WD,Normal,60,6,6,24,0,24.0
130000,60.0,7134,0.0,384,0,384,1360,0,1360,0,1,0,3,6,1,2,572,0,50,0,RL,None,Reg,Bnk,Inside,Mod,NAmes,Norm,1Fam,SLvl,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Min1,TA,Detchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,80,5,5,66,0,59.0
172500,24.0,2645,456.0,649,321,970,983,756,1739,1,2,1,3,7,0,2,480,115,0,0,FV,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,None,None,WD,Abnorml,160,8,5,22,21,22.0
196500,89.0,11645,0.0,0,860,860,860,860,1720,0,2,1,3,7,0,2,565,0,70,0,RL,None,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,60,7,5,17,0,17.0
124900,60.0,7200,0.0,632,148,780,780,0,780,0,1,0,2,4,0,1,352,196,0,0,RL,None,Reg,Bnk,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,20,5,7,49,0,48.0
158000,63.0,13072,0.0,941,217,1158,1158,0,1158,1,1,1,3,5,0,2,576,0,50,0,RL,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Detchd,Unf,TA,TA,Y,None,None,New,Partial,20,6,5,17,0,15.0
101000,60.0,7200,0.0,0,530,530,581,530,1111,0,1,0,3,6,0,1,288,0,0,0,RM,None,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,GasA,TA,N,SBrkr,Fa,Typ,None,Detchd,Unf,TA,TA,N,None,None,WD,Normal,75,5,7,101,25,86.0
202500,44.0,6442,178.0,24,1346,1370,1370,0,1370,0,2,0,2,6,1,2,484,120,49,0,RL,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,120,8,5,15,0,15.0
140000,50.0,10300,0.0,0,576,576,902,808,1710,0,2,0,3,9,0,2,480,12,11,0,RM,None,IR1,Bnk,Inside,Gtl,OldTown,RRAn,1Fam,2Story,Gable,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,GdPrv,None,WD,Normal,70,7,6,100,71,31.0
317000,76.0,9591,344.0,0,1143,1143,1143,1330,2473,0,2,1,4,9,1,3,852,192,151,0,RL,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,None,None,WD,Normal,60,8,5,17,16,17.0
226000,72.0,10665,167.0,1013,440,1453,1479,0,1479,1,2,0,3,7,0,2,558,144,29,0,RL,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,7,5,18,0,18.0
80000,47.0,4608,0.0,0,747,747,747,0,747,0,1,0,2,4,0,1,220,0,0,0,RM,None,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,WD,Normal,30,4,6,76,71,76.0
225000,81.0,15593,0.0,603,701,1304,1304,983,2287,0,2,0,3,7,1,2,667,0,21,0,RL,None,Reg,Lvl,Corner,Gtl,ClearCr,Norm,1Fam,1.5Fin,Gable,BrkFace,AsbShng,None,Gd,TA,CBlock,TA,TA,No,BLQ,Unf,GasW,TA,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,None,None,WD,Normal,50,7,4,68,0,68.0
129500,69.0,7599,0.0,565,280,845,845,0,845,1,1,0,2,4,0,2,360,0,0,0,RL,None,Reg,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,1Story,Gable,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Normal,20,4,6,39,15,34.0
144900,85.0,10200,104.0,320,404,1086,1086,0,1086,1,1,0,3,6,0,2,490,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Gd,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,GdWo,None,WD,Normal,20,5,7,67,18,32.0
91000,21.0,1596,0.0,462,0,462,526,462,988,1,1,0,2,5,0,1,297,120,101,0,RM,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,SLvl,Gable,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,BuiltIn,Unf,TA,TA,Y,GdWo,None,WD,Normal,180,4,5,48,0,48.0
135750,0.0,8475,0.0,228,724,952,952,0,952,0,1,0,2,4,0,1,283,0,0,0,RL,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,FuseA,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,WD,Normal,20,4,7,65,0,65.0
127000,50.0,8635,0.0,336,295,672,1072,213,1285,1,1,0,2,6,0,1,240,0,0,0,RM,None,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,BLQ,GLQ,GasA,TA,Y,SBrkr,TA,Min1,None,Detchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,50,5,5,73,20,73.0
136500,72.0,10778,0.0,0,1768,1768,1768,0,1768,0,2,0,4,8,0,0,0,0,0,0,RL,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,TA,Typ,None,None,None,None,None,Y,None,None,WD,Normal,90,4,5,53,0,0.0
110000,60.0,10440,0.0,0,440,440,682,548,1230,0,1,1,2,5,0,2,440,74,0,0,RM,Grvl,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,MnPrv,None,WD,Normal,50,5,6,111,40,55.0
153500,32.0,4500,443.0,1201,36,1237,1337,0,1337,1,2,0,2,5,0,2,405,0,199,0,RM,None,Reg,Lvl,FR2,Gtl,Mitchel,Norm,TwnhsE,1Story,Hip,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Ex,Gd,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,None,None,WD,Normal,120,6,5,23,0,23.0
245000,78.0,10206,468.0,33,1530,1563,1563,0,1563,0,2,0,3,6,1,3,758,144,99,0,RL,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,WD,Normal,20,8,5,14,0,14.0
126500,80.0,8892,66.0,0,1065,1065,1065,0,1065,0,1,1,3,6,0,2,461,74,0,0,RL,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,BrkCmn,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,COD,Normal,20,5,5,61,0,47.0
